experiment,stepNum,n_cells,aspect_ratio,convexity,order_parameter,density_parameter,R2_exp_fit,growth_rate
1-5-23-scene2note83,83,111,0.49992028130961663,0.9112752172896776,0.7664167337199838,0.923407013387569,0.9624199219740958,0.7002088613912016
1-5-23.scene1note80+,80,68,0.45411252747770064,0.6433824978113274,0.7917850024736283,0.8681850089696591,0.9589710358730036,0.6819235568333933
1-5-23.scene3,89,189,0.5015759327124754,0.8437480826199616,0.7901880966738579,0.889982420442119,0.9692284857288277,0.7516988316789941
1-5-23.scene4-note90,90,202,0.7128420074943626,0.7638881748133839,0.7851301983871233,0.887353817931667,0.9728174295622569,0.7916462084367761
1-5-23.scene5.note90,90,140,0.3475163663961407,0.8670835410249774,0.8183145725757975,0.9164245280988356,0.9271888929167762,0.6967029615428428
1-5-23.scene6-note72,72,48,0.2942589423115336,0.9995332135748494,0.9101147530721356,0.9250714005712045,0.9841496652483652,0.7502036639867088
1-5-23.scene7-note75+,75,54,0.35176781802736873,0.7943933721956213,0.920953164537604,0.8818952941812092,0.9462428495602275,0.6532381608864641
1-5-23.scene8.note80,80,166,0.4588346121375851,0.6527231169006068,0.7505278155132884,0.919917864476386,0.9788207910749132,0.7876656488076547
2-5-23-scene7-note90,90,149,0.5227429411511564,0.6697294737781705,0.744474865747147,0.8549655850540806,0.9681386523010238,0.8433708895689425
2-5-23-scene8-note90,90,151,0.23776771530222499,0.9256024554586139,0.8695074874769484,0.8908898161110129,0.960090639788271,0.7384209748404906
2-5-23-scene9,101,199,0.5434804702066742,0.7615912457127202,0.7706931360186919,0.891838798208869,0.9183957188447113,0.6122580165725375
2-5-23.scene1,102,173,0.5388405318135375,0.6638314255592566,0.8216735242333888,0.8999400746761728,0.9801769300879418,0.7049537723343937
2-5-23.scene2,90,130,0.37962432275043423,0.7106801662876164,0.7702398813130444,0.8950321534621901,0.972419641137699,0.7069691942092793
2-5-23.scene3,97,195,0.417194937823861,0.7552140558251697,0.7226826096138238,0.8646530591507793,0.955437424658601,0.6409543188077902
20-9-22.SCENE1,91,225,0.7141924940790072,0.7317946846815941,0.7952234604120614,0.9199852701351992,0.9889780017762652,0.6978642242578781
20-9-22.SCENE2,95,139,0.5917663882192076,0.5472282721438761,0.808037878922146,0.8943776329104987,0.9890668181495793,0.7158509842744404
20-9-22.SCENE3,84,201,0.4330513404920105,0.7442975306444939,0.7394066302385641,0.8968586835573055,0.9920437807287968,0.771878736311042
20-9-22.SCENE3.2,89,125,0.321652014266121,0.8204957074376074,0.7701534808139144,0.870064194337967,0.9814950514848471,0.7327488539942092
20-9-22.SCENE4,95,206,0.7235333295478503,0.6253416844397638,0.7765278229143368,0.8837607725054512,0.9836001810651583,0.6901909619229701
20-9-22.SCENE5,92,200,0.9014581928515436,0.7802457576450063,0.7204265482248915,0.8888459918573635,0.9806691409766256,0.7036379380208879
20-9-22.SCENE6,93,211,0.7363047237764222,0.6905813235603735,0.7871596861646636,0.9092611683848797,0.9830906243665833,0.732700015788987
20-9-22.SCENE7,91,212,0.7957960961788718,0.656869669249015,0.7493990385440368,0.8811345010445123,0.9840497382599518,0.7447851968386466
20-9-22.SCENE8,81,200,0.479211908284881,0.7456877091634478,0.8289594186587573,0.8828361356093805,0.9882088972638554,0.7686503239657662
24-1-23.scene2,72,213,0.36511330381191853,0.9160640512099647,0.7533108665247191,0.8873038292529818,0.993567107188311,0.9166769984197622
24-1-23.scene3,77,208,0.5865765481534839,0.573009695330808,0.7912219563463261,0.8926597691568972,0.98360819485246,0.8706467649057149
24-1-23.scene4.1-note,81,221,0.697806691075159,0.9301769449438951,0.7407898275833475,0.8931461167178587,0.989055912968997,0.8916140844408039
24-1-23.scene4.2,73,140,0.6412036673171608,0.720003078484238,0.7962974473520764,0.9090207404825337,0.9750503147162309,0.8410158210561209
24-1-23.scene5,84,201,0.6039730633813937,0.7570957576468368,0.8236644718680917,0.8846568518105435,0.9739152757215509,0.8121653930675183
24-1-23.scene5.2,77,133,0.41341452585352395,0.8907704191801856,0.8271439841586963,0.8929667332326725,0.9675542048695556,0.8066964532589129
24-1-23.scene6-note85,80,207,0.6499408772704977,0.7413264179015336,0.7800041748615402,0.8891156462585034,0.9714770186143554,0.8674445731141902
24-1-23.scene7-lastremoved,76,204,0.6452834228268438,0.7481756565959756,0.8280075173246525,0.9221745031327272,0.989328337958952,0.9313802554264068
24-1-23.scene8,82,210,0.5920199649356125,0.7983495181442255,0.8018727176612991,0.8991165574237675,0.981114822470935,0.8657836351272871
