experiment,stepNum,n_cells,aspect_ratio,convexity,order_parameter,density_parameter,R2_exp_fit
20-9-22.SCENE1,91,225,0.714192494,0.731794685,0.79522346,0.91998527,0.988978002
24-1-23.scene4.1-note,81,221,0.697806691,0.930176945,0.740789828,0.893146117,0.989055913
24-1-23.scene2,72,213,0.365113304,0.916064051,0.753310867,0.887303829,0.993567107
20-9-22.SCENE7,91,212,0.795796096,0.656869669,0.749399039,0.881134501,0.984049738
20-9-22.SCENE6,93,211,0.736304724,0.690581324,0.787159686,0.909261168,0.983090624
24-1-23.scene8,82,210,0.592019965,0.798349518,0.801872718,0.899116557,0.981114822
24-1-23.scene3,77,208,0.586576548,0.573009695,0.791221956,0.892659769,0.983608195
24-1-23.scene6-note85,80,207,0.649940877,0.741326418,0.780004175,0.889115646,0.971477019
20-9-22.SCENE4,95,206,0.72353333,0.625341684,0.776527823,0.883760773,0.983600181
24-1-23.scene7-lastremoved,76,204,0.645283423,0.748175657,0.828007517,0.922174503,0.989328338
1-5-23.scene4-note90,90,202,0.712842007,0.763888175,0.785130198,0.887353818,0.97281743
20-9-22.SCENE3,84,201,0.43305134,0.744297531,0.73940663,0.896858684,0.992043781
24-1-23.scene5,84,201,0.603973063,0.757095758,0.823664472,0.884656852,0.973915276
20-9-22.SCENE5,92,200,0.901458193,0.780245758,0.720426548,0.888845992,0.980669141
20-9-22.SCENE8,81,200,0.479211908,0.745687709,0.828959419,0.882836136,0.988208897
2-5-23-scene9,101,199,0.54348047,0.761591246,0.770693136,0.891838798,0.918395719
2-5-23.scene3,97,195,0.417194938,0.755214056,0.72268261,0.864653059,0.955437425
1-5-23.scene3,89,189,0.501575933,0.843748083,0.790188097,0.88998242,0.969228486
2-5-23.scene1,102,173,0.538840532,0.663831426,0.821673524,0.899940075,0.98017693
1-5-23.scene8.note80,80,166,0.458834612,0.652723117,0.750527816,0.919917864,0.978820791
2-5-23-scene8-note90,90,151,0.237767715,0.925602455,0.869507487,0.890889816,0.96009064
2-5-23-scene7-note90,90,149,0.522742941,0.669729474,0.744474866,0.854965585,0.968138652
1-5-23.scene5.note90,90,140,0.347516366,0.867083541,0.818314573,0.916424528,0.927188893
24-1-23.scene4.2,73,140,0.641203667,0.720003078,0.796297447,0.90902074,0.975050315
